name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Carleton Railway Station'},XON,CA,America/Montreal,XON,railway,Carleton Railway Station,"{'lat': 43.672, 'lon': -79.457}",False
{'en': 'Tangshan Sannuhe Airport'},TVS,CN,Asia/Shanghai,TVS,airport,Tangshan Sannuhe Airport,"{'lat': 39.724, 'lon': 117.99345}",True
{'en': 'Coolah'},CLH,AU,Australia/Sydney,CLH,airport,Coolah,"{'lat': -31.833332, 'lon': 149.7}",False
{'en': 'Chhatrapati Shivaji International Airport'},BOM,IN,Asia/Kolkata,BOM,airport,Chhatrapati Shivaji International Airport,"{'lat': 19.095509, 'lon': 72.87497}",True
{'en': 'Duqm'},DQM,OM,Asia/Muscat,DQM,airport,Duqm,"{'lat': 19.503346, 'lon': 57.63683}",True
{'en': 'Erzurum Airport'},ERZ,TR,Europe/Istanbul,ERZ,airport,Erzurum Airport,"{'lat': 39.955555, 'lon': 41.17361}",True
{'en': 'Darwin Railway'},DRW,AU,Australia/Darwin,XJG,railway,Darwin Railway,"{'lat': -12.4628198, 'lon': 130.8417694}",True
{'en': 'Sodertalje S Railway'},JSO,SE,Europe/Stockholm,XEZ,railway,Sodertalje S Railway,"{'lat': 59.1959473, 'lon': 17.6279523}",False
{'en': 'Siuna'},SIU,NI,America/Managua,SIU,airport,Siuna,"{'lat': 13.727222, 'lon': -84.77778}",False
{'en': 'Pristina International Airport'},PRN,XK,Europe/Belgrade,PRN,airport,Pristina International Airport,"{'lat': 42.573612, 'lon': 21.035557}",True
{'en': 'Mirgorod'},MXR,UA,Europe/Kiev,MXR,airport,Mirgorod,"{'lat': 49.966667, 'lon': 33.6}",False
{'en': 'Motueka'},MZP,NZ,Pacific/Auckland,MZP,airport,Motueka,"{'lat': -41.11667, 'lon': 173}",False
{'en': 'Playon Chico'},PYC,PA,America/Panama,PYC,airport,Playon Chico,"{'lat': 9.574444, 'lon': -79.605835}",False
{'en': 'Sholapur'},SSE,IN,Asia/Kolkata,SSE,airport,Sholapur,"{'lat': 17.633333, 'lon': 75.933334}",False
{'en': 'North Air Terminal'},LAS,US,America/Los_Angeles,VGT,airport,North Air Terminal,"{'lat': 36.09667, 'lon': -115.16889}",False
{'en': 'Neftekamsk'},NEF,RU,Asia/Yekaterinburg,NEF,airport,Neftekamsk,"{'lat': 56.1, 'lon': 54.35}",False
{'en': 'Ciudad Obregon Airport'},CEN,MX,America/Hermosillo,CEN,airport,Ciudad Obregon Airport,"{'lat': 27.391945, 'lon': -109.839165}",True
{'en': 'Horizontina'},HRZ,BR,America/Sao_Paulo,HRZ,airport,Horizontina,"{'lat': -27.638332, 'lon': -54.340557}",False
{'en': 'Barcelonnette'},BAE,FR,Europe/Paris,BAE,airport,Barcelonnette,"{'lat': 44.38333, 'lon': 6.666667}",False
{'en': 'Muttaburra'},UTB,AU,Australia/Brisbane,UTB,airport,Muttaburra,"{'lat': -22.5875, 'lon': 144.525}",False
{'en': 'Griswold'},MPE,US,America/New_York,MPE,airport,Griswold,"{'lat': 41.283333, 'lon': -72.6}",False
{'en': 'Capital International Airport'},CAI,EG,Africa/Cairo,CCE,airport,Capital International Airport,"{'lat': 30.075833, 'lon': 31.833333}",True
{'en': 'Lague'},LCO,CG,Africa/Brazzaville,LCO,airport,Lague,"{'lat': -2.45, 'lon': 14.533333}",False
{'en': 'Jiamusi Airport'},JMU,CN,Asia/Shanghai,JMU,airport,Jiamusi Airport,"{'lat': 46.845394, 'lon': 130.45541}",True
{'en': 'Rotorua International Airport'},ROT,NZ,Pacific/Auckland,ROT,airport,Rotorua International Airport,"{'lat': -38.10982, 'lon': 176.31746}",True
{'en': 'Columbia'},COA,US,America/Los_Angeles,COA,airport,Columbia,"{'lat': 38.02889, 'lon': -120.41278}",False
{'en': 'Harbour'},XEQ,GL,America/Godthab,XEQ,airport,Harbour,"{'lat': 60.266666, 'lon': -44.63333}",False
{'en': 'Madison'},XMD,US,America/Chicago,XMD,airport,Madison,"{'lat': 44, 'lon': -97.11667}",False
{'en': 'Zamfara - Gusau Airstrip'},QUS,NG,Africa/Lagos,QUS,airport,Zamfara - Gusau Airstrip,"{'lat': 12.172222, 'lon': 6.695833}",True
{'en': 'Ocussi'},OEC,TL,Asia/Dili,OEC,airport,Ocussi,"{'lat': -9.205, 'lon': 124.34167}",False
{'en': 'Hamburg Airport'},HAM,DE,Europe/Berlin,HAM,airport,Hamburg Airport,"{'lat': 53.63128, 'lon': 10.006414}",True
{'en': 'Gettysburg'},GTY,US,America/New_York,GTY,airport,Gettysburg,"{'lat': 39.833332, 'lon': -77.23333}",False
{'en': 'Borba'},RBB,BR,America/Manaus,RBB,airport,Borba,"{'lat': -4.4, 'lon': -59.583332}",True
{'en': 'Avesta Krylbo'},XYP,SE,Europe/Stockholm,XYP,railway,Avesta Krylbo,"{'lat': 60.14444, 'lon': 16.1675}",True
{'en': 'Simla'},SLV,IN,Asia/Kolkata,SLV,airport,Simla,"{'lat': 31.116667, 'lon': 77.15}",True
{'en': 'Lingling Airport'},LLF,CN,Asia/Shanghai,LLF,airport,Lingling Airport,"{'lat': 26.345556, 'lon': 111.61222}",True
{'en': 'Big Bay Marina'},YIG,CA,America/Vancouver,YIG,airport,Big Bay Marina,"{'lat': 50.38333, 'lon': -125.13333}",False
{'en': 'Guillermo Leon Valencia Airport'},PPN,CO,America/Bogota,PPN,airport,Guillermo Leon Valencia Airport,"{'lat': 2.45, 'lon': -76.60889}",True
{'en': 'Eday Airport'},EOI,GB,Europe/London,EOI,airport,Eday Airport,"{'lat': 59.183334, 'lon': -2.783333}",True
{'en': 'Robert S Kerr'},RKR,US,America/Chicago,RKR,airport,Robert S Kerr,"{'lat': 35.05, 'lon': -94.61667}",False
{'en': 'Grong Railway Station'},XKG,NO,Europe/Oslo,XKG,railway,Grong Railway Station,"{'lat': 64.53139, 'lon': 12.62}",False
{'en': 'Columbus Municipal'},CLU,US,America/Indiana/Indianapolis,CLU,airport,Columbus Municipal,"{'lat': 39.216667, 'lon': -85.916664}",False
{'en': 'Badu Island'},BDD,AU,Australia/Brisbane,BDD,airport,Badu Island,"{'lat': -10.148655, 'lon': 142.17166}",True
{'en': 'Seno'},SND,LA,Asia/Vientiane,SND,airport,Seno,"{'lat': 16.666668, 'lon': 105.01667}",False
{'en': 'Avon Park Municipal'},AVO,US,America/New_York,AVO,airport,Avon Park Municipal,"{'lat': 27.6, 'lon': -81.51667}",False
{'en': 'Leconi'},LEO,GA,Africa/Libreville,LEO,airport,Leconi,"{'lat': -1.566667, 'lon': 14.216667}",False
{'en': 'Yola Airport'},YOL,NG,Africa/Lagos,YOL,airport,Yola Airport,"{'lat': 9.266111, 'lon': 12.432222}",True
{'en': 'Ngari Gunsa/Ali Kunsha'},NGQ,CN,Asia/Shanghai,NGQ,airport,Ngari Gunsa/Ali Kunsha,"{'lat': 32.103817, 'lon': 80.054276}",True
{'en': 'Colmore Row Bus Station'},BHX,GB,Europe/London,ZBC,bus,Colmore Row Bus Station,"{'lat': 42.237392, 'lon': 118.91089}",True
{'en': 'Whitsunday Airstrip'},WSY,AU,Australia/Brisbane,WSY,airport,Whitsunday Airstrip,"{'lat': -20.502777, 'lon': 148.75278}",False
{'en': 'Corsicana'},CRS,US,America/Chicago,CRS,airport,Corsicana,"{'lat': 32.1, 'lon': -96.46667}",False
{'en': 'Lahad Datu Airport'},LDU,MY,Asia/Kuching,LDU,airport,Lahad Datu Airport,"{'lat': 5.035278, 'lon': 118.32611}",True
{'en': 'Daegu International Airport'},TAE,KR,Asia/Seoul,TAE,airport,Daegu International Airport,"{'lat': 35.899254, 'lon': 128.63788}",True
{'en': 'Platinum Airport'},PTU,US,America/Anchorage,PTU,airport,Platinum Airport,"{'lat': 59.01139, 'lon': -161.81694}",True
{'en': 'Rosario SPB'},RSJ,US,America/Los_Angeles,RSJ,airport,Rosario SPB,"{'lat': 48.63333, 'lon': -122.85}",False
{'en': 'Upington Airport'},UTN,ZA,Africa/Johannesburg,UTN,airport,Upington Airport,"{'lat': -28.400557, 'lon': 21.253332}",True
{'en': 'Tribhuvan International Airport'},KTM,NP,Asia/Kathmandu,KTM,airport,Tribhuvan International Airport,"{'lat': 27.699905, 'lon': 85.35657}",True
{'en': 'Chekhlomej'},ЧЕХ,RU,Asia/Yekaterinburg,ЧЕХ,heliport,Chekhlomej,"{'lat': 61.108333587646484, 'lon': 80.59500122070312}",False
{'en': 'Caquetania'},CQT,CO,America/Bogota,CQT,airport,Caquetania,"{'lat': 1.616667, 'lon': -74.166664}",False
{'en': 'Hays Municipal Airport'},HYS,US,America/Chicago,HYS,airport,Hays Municipal Airport,"{'lat': 38.84611, 'lon': -99.27417}",True
{'en': 'Maastricht Aachen Airport'},MST,NL,Europe/Amsterdam,MST,airport,Maastricht Aachen Airport,"{'lat': 50.91562, 'lon': 5.768827}",True
{'en': 'West Kuparuk'},XPU,US,America/Anchorage,XPU,airport,West Kuparuk,"{'lat': 70.333336, 'lon': -149.33333}",False
{'en': 'Ayr'},AYR,AU,Australia/Brisbane,AYR,airport,Ayr,"{'lat': -19.596666, 'lon': 147.32445}",False
{'en': 'Tullamarine Airport'},MEL,AU,Australia/Melbourne,MEL,airport,Tullamarine Airport,"{'lat': -37.669613, 'lon': 144.84978}",True
{'en': 'Ganzhou Airport'},KOW,CN,Asia/Shanghai,KOW,airport,Ganzhou Airport,"{'lat': 25.851667, 'lon': 114.776665}",True
{'en': 'San Andros'},SAQ,BS,America/Nassau,SAQ,airport,San Andros,"{'lat': 25.05, 'lon': -78.05}",False
{'en': 'Tegel Airport'},BER,DE,Europe/Berlin,TXL,airport,Tegel Airport,"{'lat': 52.553944, 'lon': 13.291722}",False
{'en': 'Verbier Bus Station'},ZKY,CH,Europe/Zurich,ZKY,bus,Verbier Bus Station,"{'lat': 46.1, 'lon': 7.21667}",False
{'en': 'Iokea'},IOK,PG,Pacific/Port_Moresby,IOK,airport,Iokea,"{'lat': -8.4, 'lon': 146.26666}",False
{'en': 'Brockville'},XBR,CA,America/Toronto,XBR,airport,Brockville,"{'lat': 44.583332, 'lon': -75.683334}",False
{'en': 'Valley International Airport'},HRL,US,America/Chicago,HRL,airport,Valley International Airport,"{'lat': 26.223482, 'lon': -97.662254}",True
{'en': 'Nakolik River'},NOL,US,America/Anchorage,NOL,airport,Nakolik River,"{'lat': 67.9, 'lon': -160.71666}",False
{'en': 'Carleton'},SYN,US,America/Chicago,SYN,airport,Carleton,"{'lat': 32.13333, 'lon': -101.8}",False
{'en': 'Apple Valley'},APV,US,America/Los_Angeles,APV,airport,Apple Valley,"{'lat': 34.52639, 'lon': -117.212776}",False
{'en': 'Hirtshals Bus Station'},XAJ,DK,Europe/Copenhagen,XAJ,bus,Hirtshals Bus Station,"{'lat': 57.59, 'lon': 9.96}",False
{'en': 'Sukhothai Airport'},THS,TH,Asia/Bangkok,THS,airport,Sukhothai Airport,"{'lat': 17.223057, 'lon': 99.82222}",True
{'en': 'Mendi Airport'},MDU,PG,Pacific/Port_Moresby,MDU,airport,Mendi Airport,"{'lat': -6.158611, 'lon': 143.65}",True
{'en': 'Luozi'},LZI,CD,Africa/Kinshasa,LZI,airport,Luozi,"{'lat': -4.9, 'lon': 14}",False
{'en': 'Norfolk International Airport'},ORF,US,America/New_York,ORF,airport,Norfolk International Airport,"{'lat': 36.898582, 'lon': -76.20629}",True
{'en': 'Wood County Airport'},PKB,US,America/New_York,PKB,airport,Wood County Airport,"{'lat': 39.345554, 'lon': -81.43889}",True
{'en': 'Banyuwangi'},BWX,ID,Asia/Jakarta,BWX,airport,Banyuwangi,"{'lat': -8.31046, 'lon': 114.34003}",True
{'en': 'Tadjoura'},TDJ,DJ,Africa/Djibouti,TDJ,airport,Tadjoura,"{'lat': 11.783333, 'lon': 42.9}",False
{'en': 'Moengo'},MOJ,SR,America/Paramaribo,MOJ,airport,Moengo,"{'lat': 5.75, 'lon': -54.333332}",False
{'en': 'Toronto City Centre Airport'},YTO,CA,America/Toronto,YTZ,airport,Toronto City Centre Airport,"{'lat': 43.632023, 'lon': -79.39585}",True
{'en': 'Berberati'},BBT,CF,Africa/Bangui,BBT,airport,Berberati,"{'lat': 4.219167, 'lon': 15.788056}",False
{'en': 'Joensuu Airport'},JOE,FI,Europe/Helsinki,JOE,airport,Joensuu Airport,"{'lat': 62.656788, 'lon': 29.61354}",True
{'en': 'Medford'},MDF,US,America/Chicago,MDF,airport,Medford,"{'lat': 45.15, 'lon': -90.333336}",False
{'en': 'Buenaventura'},BUN,CO,America/Bogota,BUN,airport,Buenaventura,"{'lat': 3.825, 'lon': -76.995834}",True
{'en': 'La Romana Airport'},LRM,DO,America/Santo_Domingo,LRM,airport,La Romana Airport,"{'lat': 18.416668, 'lon': -68.9}",True
{'en': 'Petit Jean Park'},MPJ,US,America/Chicago,MPJ,airport,Petit Jean Park,"{'lat': 35.15, 'lon': -92.73333}",False
{'en': 'Port Hunter'},NTL,AU,Australia/Sydney,PHJ,heliport,Port Hunter,"{'lat': -32.916668, 'lon': 151.76666}",False
{'en': 'Daqing Shi Airport'},DQA,CN,Asia/Shanghai,DQA,airport,Daqing Shi Airport,"{'lat': 46.58736, 'lon': 125.22841}",True
{'en': 'Roumanieres Airport'},EGC,FR,Europe/Paris,EGC,airport,Roumanieres Airport,"{'lat': 44.85, 'lon': 0.483333}",True
{'en': 'Necocli'},NCI,CO,America/Bogota,NCI,airport,Necocli,"{'lat': 8.483333, 'lon': -76.75}",False
{'en': 'Koolatah'},KOH,AU,Australia/Brisbane,KOH,airport,Koolatah,"{'lat': -15.966667, 'lon': 142.41667}",False
{'en': 'Manga'},MGP,PG,Pacific/Port_Moresby,MGP,airport,Manga,"{'lat': -4.033333, 'lon': 152.96666}",False
{'en': 'Kasigluk Airport'},KUK,US,America/Nome,KUK,airport,Kasigluk Airport,"{'lat': 60.876087, 'lon': -162.52124}",True
{'en': 'Biloela'},ZBL,AU,Australia/Brisbane,ZBL,airport,Biloela,"{'lat': -24.4, 'lon': 150.51666}",True
{'en': 'Cape St Jacques'},CSJ,VN,Asia/Ho_Chi_Minh,CSJ,airport,Cape St Jacques,"{'lat': 10.033333, 'lon': 111}",False
{'en': 'Limbang Airport'},LMN,MY,Asia/Kuching,LMN,airport,Limbang Airport,"{'lat': 4.666667, 'lon': 115}",True
{'en': 'Jose Joaquin de Olmedo Airport'},GYE,EC,America/Guayaquil,GYE,airport,Jose Joaquin de Olmedo Airport,"{'lat': -2.142654, 'lon': -79.88032}",True
{'en': 'Palonegro International Airport'},BGA,CO,America/Bogota,BGA,airport,Palonegro International Airport,"{'lat': 7.128045, 'lon': -73.1814}",True
{'en': 'Kazachinskoye'},КЗЧ,RU,Asia/Irkutsk,КЗЧ,airport,Kazachinskoye,"{'lat': 56.268333435058594, 'lon': 107.57333374023438}",True
{'en': 'Kirakira Airport'},IRA,SB,Pacific/Guadalcanal,IRA,airport,Kirakira Airport,"{'lat': -10.5, 'lon': 161.83333}",True
{'en': 'Medis'},RYN,FR,Europe/Paris,RYN,airport,Medis,"{'lat': 45.61667, 'lon': -1.016667}",False
{'en': 'Karaganda Airport'},KGF,KZ,Asia/Almaty,KGF,airport,Karaganda Airport,"{'lat': 49.67526, 'lon': 73.32836}",True
{'en': 'Joao Paulo II Airport'},PDL,PT,Atlantic/Azores,PDL,airport,Joao Paulo II Airport,"{'lat': 37.743847, 'lon': -25.696468}",True
{'en': 'Arad'},ARW,RO,Europe/Bucharest,ARW,airport,Arad,"{'lat': 46.183334, 'lon': 21.266666}",True
{'en': 'Walt Disney World'},ORL,US,America/New_York,DWS,airport,Walt Disney World,"{'lat': 28.383612, 'lon': -81.55}",False
{'en': 'Mahendranagar'},XMG,NP,Asia/Kathmandu,XMG,airport,Mahendranagar,"{'lat': 28.966667, 'lon': 80.2}",False
{'en': 'Adana Airport'},COV,TR,Europe/Istanbul,ADA,airport,Adana Airport,"{'lat': 36.98503, 'lon': 35.29736}",False
{'en': 'Kempegowda International Airport'},BLR,IN,Asia/Kolkata,BLR,airport,Kempegowda International Airport,"{'lat': 13.198889, 'lon': 77.70556}",True
{'en': 'Boguchany'},BGS,RU,Asia/Krasnoyarsk,BGS,airport,Boguchany,"{'lat': 58.38055419921875, 'lon': 97.4727783203125}",True
{'en': 'Strasbourg Railway Station'},SXB,FR,Europe/Paris,XWG,railway,Strasbourg Railway Station,"{'lat': 48.583148, 'lon': 7.747882}",True
{'en': 'Pinheiro'},PHI,BR,America/Fortaleza,PHI,airport,Pinheiro,"{'lat': -2.516667, 'lon': -45.083332}",False
{'en': 'Araguaina Airport'},AUX,BR,America/Araguaina,AUX,airport,Araguaina Airport,"{'lat': -7.2, 'lon': -48.2}",True
{'en': 'Tippi'},TIE,ET,Africa/Addis_Ababa,TIE,airport,Tippi,"{'lat': 7.201111, 'lon': 35.41528}",False
{'en': 'Cable Airport'},CCB,US,America/Los_Angeles,CCB,airport,Cable Airport,"{'lat': 34.113888, 'lon': -117.68889}",False
{'en': 'Wanganui Airport'},WAG,NZ,Pacific/Auckland,WAG,airport,Wanganui Airport,"{'lat': -39.960922, 'lon': 175.02444}",True
{'en': 'Des Moines International Airport'},DSM,US,America/Chicago,DSM,airport,Des Moines International Airport,"{'lat': 41.532433, 'lon': -93.64809}",True
{'en': 'A. Tubman'},CPA,LR,Africa/Monrovia,CPA,airport,A. Tubman,"{'lat': 4.376667, 'lon': -7.695556}",False
{'en': 'Hanzhong Airport'},HZG,CN,Asia/Shanghai,HZG,airport,Hanzhong Airport,"{'lat': 32.983334, 'lon': 107.183334}",True
{'en': 'Sonari'},IXW,IN,Asia/Kolkata,IXW,airport,Sonari,"{'lat': 22.813057, 'lon': 86.16889}",False
{'en': 'Palmyra'},PMS,SY,Asia/Damascus,PMS,airport,Palmyra,"{'lat': 34.6, 'lon': 38.25}",False
{'en': 'Port Fitzroy'},GBS,NZ,Pacific/Auckland,GBS,airport,Port Fitzroy,"{'lat': -36.13333, 'lon': 175.33333}",False
{'en': 'Jaffrey Municipal'},AFN,US,America/New_York,AFN,airport,Jaffrey Municipal,"{'lat': 42.833332, 'lon': -72.066666}",False
{'en': 'Kaieteur'},KAI,GY,America/Guyana,KAI,airport,Kaieteur,"{'lat': 5.883333, 'lon': -60.619446}",False
{'en': 'Vatomandry'},VAT,MG,Indian/Antananarivo,VAT,airport,Vatomandry,"{'lat': -19.283333, 'lon': 48.833332}",False
{'en': 'Sachigo Lake Airport'},ZPB,CA,America/Winnipeg,ZPB,airport,Sachigo Lake Airport,"{'lat': 53.890556, 'lon': -92.195274}",True
{'en': 'Oradea Airport'},OMR,RO,Europe/Bucharest,OMR,airport,Oradea Airport,"{'lat': 47.0275, 'lon': 21.903055}",True
{'en': 'Tawa'},TWY,PG,Pacific/Port_Moresby,TWY,airport,Tawa,"{'lat': -7.266667, 'lon': 146.06667}",False
{'en': 'Lotusvale'},LTV,AU,Australia/Brisbane,LTV,airport,Lotusvale,"{'lat': -17.05, 'lon': 141.38333}",False
{'en': 'Adareil'},AEE,SS,Africa/Juba,AEE,airport,Adareil,"{'lat': 10.05788528939453, 'lon': 32.96044353069067}",False
{'en': 'Lobatse'},LOQ,BW,Africa/Gaborone,LOQ,airport,Lobatse,"{'lat': -25.190277, 'lon': 25.681944}",False
{'en': 'La Vanguardia Airport'},VVC,CO,America/Bogota,VVC,airport,La Vanguardia Airport,"{'lat': 4.078889, 'lon': -73.566666}",True
{'en': 'Barahona'},BRX,DO,America/Santo_Domingo,BRX,airport,Barahona,"{'lat': 18.216667, 'lon': -71.11667}",False
{'en': 'Ambilobe'},AMB,MG,Indian/Antananarivo,AMB,airport,Ambilobe,"{'lat': -13.183333, 'lon': 48.983334}",False
{'en': 'Sule'},ULE,PG,Pacific/Port_Moresby,ULE,airport,Sule,"{'lat': -4.933333, 'lon': 151.26666}",False
{'en': 'Sheghnan'},SGA,AF,Asia/Kabul,SGA,airport,Sheghnan,"{'lat': 38.033333, 'lon': 71.71667}",False
{'en': 'Nduli Airport'},IRI,TZ,Africa/Dar_es_Salaam,IRI,airport,Nduli Airport,"{'lat': -7.670556, 'lon': 35.75028}",True
{'en': 'Argyle'},GYL,AU,Australia/Perth,GYL,airport,Argyle,"{'lat': -16.333332, 'lon': 128.66667}",False
{'en': 'Fuengirola'},FGR,ES,Europe/Madrid,FGR,railway,Fuengirola,"{'lat': 36.533333, 'lon': -4.633333}",False
{'en': 'Kufrah'},AKF,LY,Africa/Tripoli,AKF,airport,Kufrah,"{'lat': 24.2, 'lon': 23.333332}",False
{'en': 'Dulkaninna'},DLK,AU,Australia/Adelaide,DLK,airport,Dulkaninna,"{'lat': -29.016666, 'lon': 139.46666}",False
{'en': 'Luigi Ridolfi'},FRL,IT,Europe/Rome,FRL,airport,Luigi Ridolfi,"{'lat': 44.19857, 'lon': 12.07076}",True
{'en': 'A Coruna Railway Station'},LCG,ES,Europe/Madrid,YJC,railway,A Coruna Railway Station,"{'lat': 43.3708731, 'lon': -8.395835}",True
{'en': 'Sonoma County Airport'},STS,US,America/Los_Angeles,STS,airport,Sonoma County Airport,"{'lat': 38.50889, 'lon': -122.81167}",True
{'en': 'Can Tho Airport'},VCA,VN,Asia/Ho_Chi_Minh,VCA,airport,Can Tho Airport,"{'lat': 10.047222, 'lon': 105.76639}",True
{'en': 'Sao Tome Island Airport'},TMS,ST,Africa/Sao_Tome,TMS,airport,Sao Tome Island Airport,"{'lat': 0.378333, 'lon': 6.725}",True
{'en': 'Saumlaki Olilit Airport'},SXK,ID,Asia/Jayapura,SXK,airport,Saumlaki Olilit Airport,"{'lat': -7.966667, 'lon': 131.31667}",True
{'en': 'Black Hills'},SPF,US,America/Denver,SPF,airport,Black Hills,"{'lat': 44.5, 'lon': -103.86667}",False
{'en': 'Oshima'},OIM,JP,Asia/Tokyo,OIM,airport,Oshima,"{'lat': 34.779167, 'lon': 139.365}",False
{'en': 'Charmeil'},VHY,FR,Europe/Paris,VHY,airport,Charmeil,"{'lat': 46.165558, 'lon': 3.409722}",False
{'en': 'Tabriz Airport'},TBZ,IR,Asia/Tehran,TBZ,airport,Tabriz Airport,"{'lat': 38.12285, 'lon': 46.244274}",True
{'en': 'Bintulu Port'},ZMK,MY,Asia/Kuching,ZMK,airport,Bintulu Port,"{'lat': 3.16667, 'lon': 113.03333}",False
{'en': 'Walcha'},WLC,AU,Australia/Sydney,WLC,airport,Walcha,"{'lat': -30.983334, 'lon': 151.6}",False
{'en': 'Angers-Marce Airport'},ANE,FR,Europe/Paris,ANE,airport,Angers-Marce Airport,"{'lat': 47.466667, 'lon': -0.55}",True
{'en': 'Louis Armstrong New Orleans International Airport'},MSY,US,America/Chicago,MSY,airport,Louis Armstrong New Orleans International Airport,"{'lat': 29.984564, 'lon': -90.25639}",True
{'en': 'North SPB'},BIM,BS,America/Nassau,NSB,airport,North SPB,"{'lat': 25.775, 'lon': -79.25}",False
{'en': 'Muting'},MUF,ID,Asia/Jayapura,MUF,airport,Muting,"{'lat': -7.5, 'lon': 140.33333}",False
{'en': 'Transco Twr Galleria'},HOU,US,America/Chicago,JGQ,airport,Transco Twr Galleria,"{'lat': 29.766666, 'lon': -95.46667}",False
{'en': 'Munda Airport'},MUA,SB,Pacific/Guadalcanal,MUA,airport,Munda Airport,"{'lat': -8.32794, 'lon': 157.26971}",True
{'en': 'Kelp Bay'},KLP,US,America/Sitka,KLP,airport,Kelp Bay,"{'lat': 57.55, 'lon': -134.86667}",False
{'en': 'Nankina'},NKN,PG,Pacific/Port_Moresby,NKN,airport,Nankina,"{'lat': -5.833333, 'lon': 143.45}",False
{'en': 'Rendani Airport'},MKW,ID,Asia/Jayapura,MKW,airport,Rendani Airport,"{'lat': -0.893056, 'lon': 134.05278}",True
{'en': 'Aua Island'},AUI,PG,Pacific/Port_Moresby,AUI,airport,Aua Island,"{'lat': -1.458333, 'lon': 143.075}",False
{'en': 'Kagau'},KGE,SB,Pacific/Guadalcanal,KGE,airport,Kagau,"{'lat': -8.165, 'lon': 157.5861}",True
{'en': 'Savannakhet'},ZVK,LA,Asia/Vientiane,ZVK,airport,Savannakhet,"{'lat': 16.553612, 'lon': 104.7625}",True
{'en': 'Junmachi Airport'},GAJ,JP,Asia/Tokyo,GAJ,airport,Junmachi Airport,"{'lat': 38.410645, 'lon': 140.36583}",True
{'en': 'Caviahue'},CVH,AR,America/Argentina/Salta,CVH,airport,Caviahue,"{'lat': -37.916668, 'lon': -71}",False
{'en': 'Dakhla'},DAK,EG,Africa/Cairo,DAK,airport,Dakhla,"{'lat': 25.414722, 'lon': 28.999166}",False
{'en': 'Fort Scott Municipal'},FSK,US,America/Chicago,FSK,airport,Fort Scott Municipal,"{'lat': 37.833332, 'lon': -94.7}",False
{'en': 'Twin Hills'},TWA,US,America/Anchorage,TWA,airport,Twin Hills,"{'lat': 59.166668, 'lon': -159.99167}",False
{'en': 'Kuparuk'},UUK,US,America/Anchorage,UUK,airport,Kuparuk,"{'lat': 70.416664, 'lon': -148.91667}",False
{'en': 'Malikus Saleh Airport'},LSW,ID,Asia/Jakarta,LSW,airport,Malikus Saleh Airport,"{'lat': 5.166667, 'lon': 97.166664}",True
{'en': 'Chinchilla'},CCL,AU,Australia/Brisbane,CCL,airport,Chinchilla,"{'lat': -26.75, 'lon': 150.63333}",False
{'en': 'Gurayat Airport'},URY,SA,Asia/Riyadh,URY,airport,Gurayat Airport,"{'lat': 31.409622, 'lon': 37.275005}",True
{'en': 'Levis Railway Station'},YQB,CA,America/Montreal,XLK,railway,Levis Railway Station,"{'lat': 46.8032826, 'lon': -71.242796}",True
{'en': 'Namu'},ZNU,CA,America/Vancouver,ZNU,airport,Namu,"{'lat': 51.85, 'lon': -127.86667}",False
{'en': 'Konge'},KGB,PG,Pacific/Port_Moresby,KGB,airport,Konge,"{'lat': -6.133333, 'lon': 147.65}",False
{'en': 'Nichen Cove'},NKV,US,America/Anchorage,NKV,airport,Nichen Cove,"{'lat': 55.85, 'lon': -133.21666}",False
{'en': 'A.N.R. Robinson International Airport'},TAB,TT,America/Port_of_Spain,TAB,airport,A.N.R. Robinson International Airport,"{'lat': 11.152541, 'lon': -60.839684}",True
{'en': 'Piarco International Airport'},POS,TT,America/Port_of_Spain,POS,airport,Piarco International Airport,"{'lat': 10.602089, 'lon': -61.339413}",True
{'en': 'Torembi Airport'},TCJ,PG,Pacific/Port_Moresby,TCJ,airport,Torembi Airport,"{'lat': -4.016667, 'lon': 143.13333}",False
{'en': 'Cuddihy Field'},CRP,US,America/Chicago,CUX,airport,Cuddihy Field,"{'lat': 27.75, 'lon': -97.33611}",False
{'en': 'Jasper Railway Station'},YJA,CA,America/Edmonton,XDH,railway,Jasper Railway Station,"{'lat': 33.8312, 'lon': -87.2775}",False
{'en': 'Oodnadatta'},ODD,AU,Australia/Adelaide,ODD,airport,Oodnadatta,"{'lat': -27.550278, 'lon': 135.45}",False
{'en': 'Omboue'},OMB,GA,Africa/Libreville,OMB,airport,Omboue,"{'lat': -1.6, 'lon': 9.266667}",False
{'en': 'Poligus'},ПГУ,RU,Asia/Krasnoyarsk,ПГУ,heliport,Poligus,"{'lat': 62, 'lon': 94.66666412353516}",False
{'en': 'Lakefront Airport'},MSY,US,America/Chicago,NEW,airport,Lakefront Airport,"{'lat': 30.039444, 'lon': -90.026665}",True
{'en': 'Hodeidah Airport'},HOD,YE,Asia/Aden,HOD,airport,Hodeidah Airport,"{'lat': 14.755638, 'lon': 42.970478}",False
{'en': 'Dirranbandi'},DRN,AU,Australia/Brisbane,DRN,airport,Dirranbandi,"{'lat': -28.586666, 'lon': 148.21527}",False
{'en': 'Fire Cove'},FIC,US,America/Juneau,FIC,airport,Fire Cove,"{'lat': 55.77778, 'lon': -131.5375}",False
