name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Wellingborough Railway Station'},XWE,GB,Europe/London,XWE,railway,Wellingborough Railway Station,"{'lat': 52.294, 'lon': -0.6964}",False
{'en': 'Sechelt'},YHS,CA,America/Vancouver,YHS,airport,Sechelt,"{'lat': 49.466667, 'lon': -123.75}",False
{'en': 'Vancouver International Airport'},YVR,CA,America/Vancouver,YVR,airport,Vancouver International Airport,"{'lat': 49.1947, 'lon': -123.17919}",True
{'en': 'Donegal Airport'},CFN,IE,Europe/Dublin,CFN,airport,Donegal Airport,"{'lat': 55.041668, 'lon': -8.340278}",True
{'en': 'Alamogordo Municipal'},ALM,US,America/Denver,ALM,airport,Alamogordo Municipal,"{'lat': 32.845833, 'lon': -105.985275}",False
{'en': 'Okushiri Airport'},OIR,JP,Asia/Tokyo,OIR,airport,Okushiri Airport,"{'lat': 42.166668, 'lon': 139.51666}",True
{'en': 'Chefornak Sea Plane Base'},CYF,US,America/Nome,CYF,airport,Chefornak Sea Plane Base,"{'lat': 60.216667, 'lon': -164.2}",True
{'en': 'Memorial Field'},HOT,US,America/Chicago,HOT,airport,Memorial Field,"{'lat': 34.47889, 'lon': -93.09611}",True
{'en': 'Banfora'},BNR,BF,Africa/Ouagadougou,BNR,airport,Banfora,"{'lat': 10.666667, 'lon': -4.666667}",False
{'en': 'Cork Airport'},ORK,IE,Europe/Dublin,ORK,airport,Cork Airport,"{'lat': 51.846645, 'lon': -8.48914}",True
{'en': 'Obano'},OBD,ID,Asia/Jayapura,OBD,airport,Obano,"{'lat': -3.9, 'lon': 136.2}",False
{'en': 'Dinangat'},DNU,PG,Pacific/Port_Moresby,DNU,airport,Dinangat,"{'lat': -6.15, 'lon': 146.66667}",False
{'en': 'Asapa'},APP,PG,Pacific/Port_Moresby,APP,airport,Asapa,"{'lat': -8.983333, 'lon': 148.13333}",False
{'en': 'Sandvika Railway Station'},ZYW,NO,Europe/Oslo,ZYW,railway,Sandvika Railway Station,"{'lat': 59.89, 'lon': 10.52639}",False
{'en': 'Miandrivazo'},ZVA,MG,Indian/Antananarivo,ZVA,airport,Miandrivazo,"{'lat': -19.5, 'lon': 45.466667}",False
{'en': 'Yangambi'},YAN,CD,Africa/Lubumbashi,YAN,airport,Yangambi,"{'lat': 0.783333, 'lon': 24.4}",False
{'en': 'Abraham Gonzalez International Airport'},CJS,MX,America/Ojinaga,CJS,airport,Abraham Gonzalez International Airport,"{'lat': 31.63593, 'lon': -106.4361}",True
{'en': 'Palma'},LMZ,MZ,Africa/Maputo,LMZ,airport,Palma,"{'lat': -10.766667, 'lon': 40.483334}",False
{'en': 'Fort Mcpherson'},ZFM,CA,America/Yellowknife,ZFM,airport,Fort Mcpherson,"{'lat': 67.477776, 'lon': -134.95277}",False
{'en': 'Salto'},STY,UY,America/Montevideo,STY,airport,Salto,"{'lat': -31.436666, 'lon': -57.988335}",False
{'en': 'Wainwright'},AIN,US,America/Anchorage,AIN,airport,Wainwright,"{'lat': 70.63333, 'lon': -160.03334}",False
{'en': 'Blue Canyon'},BLU,US,America/Los_Angeles,BLU,airport,Blue Canyon,"{'lat': 39.25, 'lon': -120.71667}",False
{'en': 'Mainoru'},MIZ,AU,Australia/Darwin,MIZ,airport,Mainoru,"{'lat': -14, 'lon': 134.1}",False
{'en': 'Colby Municipal'},CBK,US,America/Chicago,CBK,airport,Colby Municipal,"{'lat': 39.4, 'lon': -101.05}",False
{'en': 'Westchester County Airport'},HPN,US,America/New_York,HPN,airport,Westchester County Airport,"{'lat': 41.068672, 'lon': -73.70389}",True
{'en': 'Cincinnati Municipal Lunken Airport'},CVG,US,America/New_York,LUK,airport,Cincinnati Municipal Lunken Airport,"{'lat': 39.033333, 'lon': -84.666664}",True
{'en': 'Chennault International.'},LCH,US,America/Chicago,CWF,airport,Chennault International.,"{'lat': 30.305918, 'lon': -93.23189}",False
{'en': 'Kirkland Lake'},YKX,CA,America/Toronto,YKX,airport,Kirkland Lake,"{'lat': 48.15, 'lon': -80.03333}",False
